Date,Open,High,Low,Close,Adj Close,Volume
2018-07-13,1070.354126,1098.586548,1069.858765,1089.4729,1072.728882,18137593
2018-07-16,1089.4729,1098.487427,1062.974121,1066.094482,1049.709717,6658302
2018-07-17,1068.174805,1085.659058,1059.556519,1082.092896,1065.46228,6530578
2018-07-18,1088.08606,1094.227783,1067.184204,1082.291016,1065.657349,4726480
2018-07-19,1083.033936,1104.530151,1076.14917,1094.475464,1077.654541,5485122
2018-07-20,1102.94519,1127.809448,1101.459229,1118.052002,1100.868652,8094154
2018-07-23,1119.191162,1119.191162,1102.647949,1109.780396,1092.724243,5897877
2018-07-24,1111.464478,1116.1698,1097.001465,1100.518188,1083.60437,4511507
2018-07-25,1099.577148,1112.455078,1093.831543,1104.678711,1087.700928,6006077
2018-07-26,1099.676147,1110.969116,1097.397705,1100.220947,1083.311646,6485768
2018-07-27,1108.987915,1126.719849,1101.706909,1119.240723,1102.039063,6742782
2018-07-30,1119.389282,1146.432983,1117.408081,1140.588379,1123.058716,14003964
2018-07-31,1140.192139,1179.222168,1136.378296,1174.863525,1156.807129,14006901
2018-08-01,1179.222168,1191.604736,1174.269043,1181.153809,1163.000854,9796282
2018-08-02,1180.311768,1180.311768,1155.001709,1157.37915,1139.591431,6308209
2018-08-03,1163.966797,1172.386963,1158.567993,1165.898438,1147.979858,6708388
2018-08-06,1165.650757,1184.769531,1164.313477,1181.401489,1163.244629,4054489
2018-08-07,1183.679932,1190.118896,1165.947998,1173.080322,1155.051147,4097939
2018-08-08,1173.872803,1211.020752,1173.872803,1206.265747,1187.726685,7987438
2018-08-09,1210.030151,1220.134399,1200.619385,1206.513428,1187.970581,6911830
2018-08-10,1199.628662,1203.591187,1191.010376,1192.892578,1174.55896,3615156
2018-08-13,1186.305054,1188.682495,1171.594482,1176.547485,1158.46521,4712408
2018-08-14,1178.825928,1205.770508,1173.179443,1199.232422,1180.801392,5349770
2018-08-16,1191.951538,1204.581787,1184.274292,1189.524536,1171.242798,6039198
2018-08-17,1197.647461,1203.987427,1188.781494,1192.446777,1174.120117,3867305
2018-08-20,1196.557861,1225.186401,1196.310181,1223.304321,1204.503418,7679143
2018-08-21,1225.632202,1239.748413,1215.478516,1235.48877,1216.500732,7348644
2018-08-23,1234.59729,1262.037109,1226.771484,1257.529907,1238.203003,8043652
2018-08-24,1253.369263,1267.931274,1248.21814,1265.504272,1246.05481,6715059
2018-08-27,1267.386475,1283.682007,1266.742554,1279.372803,1259.710205,5624995
2018-08-28,1283.830566,1310.577026,1282.839966,1306.614624,1286.533447,8777168
2018-08-29,1303.939941,1316.520752,1278.085083,1282.047485,1262.34375,11182203
2018-08-30,1281.453125,1284.969727,1258.520508,1262.48291,1243.079956,9943410
2018-08-31,1258.074707,1258.074707,1224.988281,1229.990967,1211.08728,15450941
2018-09-03,1233.309448,1246.088379,1214.537354,1217.608276,1198.894775,12315666
2018-09-04,1223.552002,1243.017456,1217.459717,1230.288086,1211.379883,8922552
2018-09-05,1230.832886,1240.887573,1197.152222,1215.478516,1196.797974,10422792
2018-09-06,1218.598877,1253.815063,1213.843994,1249.55542,1230.351074,11301160
2018-09-07,1253.022583,1269.318115,1242.720215,1266.593994,1247.127686,10794143
2018-09-10,1263.02771,1265.009033,1238.361572,1244.057617,1224.937744,7125920
2018-09-11,1247.177979,1256.489746,1222.6604,1226.078003,1207.234375,10977849
2018-09-12,1240.045654,1246.880859,1217.311157,1240.739014,1221.670044,8142006
2018-09-14,1247.574219,1263.62207,1235.93457,1241.382935,1222.304199,7953264
2018-09-17,1239.005493,1239.005493,1210.12915,1214.388794,1195.724731,6818107
2018-09-18,1214.487915,1227.762085,1202.947266,1205.720947,1187.190308,7688607
2018-09-19,1212.506592,1212.506592,1189.722656,1199.381104,1180.947876,11372574
2018-09-21,1207.553589,1225.780884,1172.386963,1206.067627,1187.531738,19250938
2018-09-24,1203.046265,1228.257324,1193.189697,1220.481079,1201.723633,10198351
2018-09-25,1223.898682,1233.309448,1183.778931,1219.044678,1200.309204,9807108
2018-09-26,1227.365845,1242.175415,1215.627075,1239.649414,1220.59729,6457463
2018-09-27,1243.215576,1251.140381,1225.879883,1241.977295,1222.889404,10911205
2018-09-28,1248.06958,1259.758789,1235.587891,1246.137817,1226.985962,11177984
2018-10-01,1245.890259,1245.890259,1192.694458,1220.134399,1201.382324,7402199
2018-10-03,1217.954956,1227.960205,1188.781494,1193.78418,1175.437012,7446497
2018-10-04,1178.330566,1179.222168,1095.614624,1111.712036,1094.626221,23432473
2018-10-05,1089.175659,1104.827393,1028.401733,1039.001343,1023.03302,22151189
2018-10-08,1040.140503,1106.511353,1015.920105,1098.982788,1082.092529,24913364
2018-10-09,1111.117676,1112.752197,1071.047485,1079.814453,1063.218872,11095381
2018-10-10,1083.628296,1105.372192,1074.118408,1091.751343,1074.972168,9592247
2018-10-11,1054.009033,1104.282471,1033.206299,1077.585571,1061.02417,13349523
2018-10-12,1094.574585,1118.398682,1091.553223,1115.97168,1098.82019,9144401
2018-10-15,1119.290283,1136.130615,1107.650635,1129.047729,1111.695435,8955871
2018-10-16,1135.239014,1156.43811,1129.29541,1152.871948,1135.153564,7549490
2018-10-17,1167.929199,1168.275879,1129.29541,1140.489258,1122.961182,12906841
2018-10-19,1089.671021,1100.567749,1060.200317,1090.95874,1074.191772,25662196
2018-10-22,1099.577148,1104.332031,1047.421509,1052.671753,1036.493286,13290338
2018-10-23,1042.864624,1054.702515,1033.850098,1044.796387,1028.739014,10673958
2018-10-24,1064.806641,1065.846802,1021.715149,1035.93042,1020.009338,13784775
2018-10-25,1026.271973,1030.878296,1006.856018,1021.120789,1005.427185,14229855
2018-10-26,1023.20105,1047.074829,1012.403442,1035.088379,1019.180115,9269654
2018-10-29,1036.178101,1083.578735,1036.178101,1077.585571,1061.02417,7744528
2018-10-30,1075.307129,1075.307129,1042.220825,1047.074829,1030.982422,8890179
2018-10-31,1049.05603,1055.841675,1037.168701,1051.284912,1035.127808,16613693
2018-11-01,1057.872437,1057.872437,1040.140503,1046.331787,1030.250732,9485091
